,Municipio,Estado,desmatamento_pro
230,Novo Repartimento,PA,0.5583203732503889
231,Óbidos,PA,0.07317969391031359
232,Oeiras do Pará,PA,0.20675640693761327
233,Oriximiná,PA,0.015115696498487688
234,Ourém,PA,0.8872566371681416
235,Ourilândia do Norte,PA,0.12326391307376193
236,Pacajá,PA,0.56936123533879
237,Palestina do Pará,PA,0.8435532994923858
238,Paragominas,PA,0.45563832519907527
239,Parauapebas,PA,0.1927812858783008
240,Pau D'Arco,PA,0.5661290322580645
241,Peixe-Boi,PA,0.8024229074889868
242,Piçarra,PA,0.8832630945213726
243,Placas,PA,0.36475672661369024
244,Ponta de Pedras,PA,0.015482534043812906
245,Portel,PA,0.11257423795476892
246,Porto de Moz,PA,0.07125150628335342
247,Prainha,PA,0.13936422049374367
248,Primavera,PA,0.6877394636015326
249,Quatipuru,PA,0.25214723926380367
250,Redenção,PA,0.6958746736292428
251,Rio Maria,PA,0.83418243571082
252,Rondon do Pará,PA,0.6883176442191649
253,Rurópolis,PA,0.34626334519572954
254,Salinópolis,PA,0.16073059360730596
255,Salvaterra,PA,0.11211832061068702
256,Santa Bárbara do Pará,PA,0.5774193548387097
257,Santa Cruz do Arari,PA,0.0
258,Santa Isabel do Pará,PA,0.7481944444444445
259,Santa Luzia do Pará,PA,0.9152889539136796
260,Santa Maria das Barreiras,PA,0.5825041058834896
261,Santa Maria do Pará,PA,0.9041304347826087
262,Santana do Araguaia,PA,0.6334309587389094
263,Santarém,PA,0.2183136740934906
264,Santarém Novo,PA,0.648695652173913
265,Santo Antônio do Tauá,PA,0.6035185185185185
266,São Caetano de Odivelas,PA,0.3139627659574468
267,São Domingos do Araguaia,PA,0.9306370794559771
268,São Domingos do Capim,PA,0.806049822064057
269,São Félix do Xingu,PA,0.24297651122215233
270,São Francisco do Pará,PA,0.871875
271,São Geraldo do Araguaia,PA,0.7883055642879597
272,São João da Ponta,PA,0.567005076142132
273,São João de Pirabas,PA,0.3061166429587482
274,São João do Araguaia,PA,0.7420807453416148
